25,150,200,2.3,0.25,210,275,150,2,0,0,166,88
32.38,200,300,2.15,0.25,390,373,200,3.5,8.1,44.3,265,109.8
32.38,200,300,2.15,0.2,390,433,250,3,12.1,60.1,265,115.4
20,150,180,2.79,0.38,369,332,100,3.1,0,2.2,130,88
20,150,180,2.79,0.38,369,332,100,3.1,0,0.7,130,80
33.1,140,220,1.48,0.9,580,560,80,1.76,0,50.91,170,83.5
25,150,200,2.3,0.25,210,275,150,1.8,3.22,2.74,166,106.5
37,120,240,2.17,0.39,706,300,120,1.5,10.78,0,204.5,115
32.38,200,300,2.15,0.19,390,476,150,2,5.1,38.2,265,181.5
33.1,150,240,1.22,0.84,580,560,80,1.57,0,36.23,190,103
33.1,150,240,1.22,0.84,580,560,80,1.57,0,38.52,190,80.9
33.1,150,240,1.22,0.84,580,560,80,1.57,0,21.87,190,119.1
33.4,254,610,1.9,0.39,441,496,254,2.04,0,26,521,405
26.07,120,200,1.92,0.32,416,275,150,1,0,21.77,167,129.3
37,150,200,1.77,0.45,585,626,85,4.7,16.9,97.2,170,27.7
27.86,120,200,1.92,0.32,416,275,150,1,0,23.06,167,124.5
20,150,180,2.26,0.19,369,332,200,2.2,26,9.2,130,62
20.93,120,230,2.62,0.56,435,464,150,1.5,0,19.54,184,128.1
36,120,240,2.17,0.39,706,300,120,1.5,7.62,0,204.5,124.3
33.1,140,220,1.48,0.9,580,560,80,1.76,0,31.22,170,103
40,200,300,2.15,0.25,390,373,200,3.5,5.2,29.9,265,121.6
40,200,300,2.15,0.19,390,458,150,2,5.4,39.4,265,179.6
27.14,120,200,1.92,0.32,416,275,150,1,0,31.7,167,131.3
21,200,350,1.65,0.3,420,420,150,2,0,14.8,300,68
20.93,120,230,2.62,0.48,300,322,100,1.5,0,10.68,184,126.4
20,150,180,2.79,0.25,369,332,150,3.1,0,1.8,130,80
32.38,200,300,2.15,0.25,390,524,200,3.5,7,40.8,265,121.3
20.93,120,230,2.62,0.48,300,322,100,1.5,0,0,184,119.5
33.1,140,220,1.48,0.9,580,560,80,1.76,0,31.13,170,88.5
20,150,180,2.26,0.19,369,332,200,2.2,14,7.2,130,70
40,200,300,2.15,0.2,390,524,250,3,5.4,32.4,265,109.8
33.1,150,240,1.22,0.84,580,560,80,1.57,0,38.25,190,90
29.6,254,610,1.9,0.33,441,496,305,2.04,0,33.8,521,443
26.07,120,200,1.92,0.32,416,275,150,2,0,18.79,167,60.2
25,150,200,2.3,0.25,210,275,150,2,2.44,2.61,166,77.8
21,200,350,1.65,0.23,420,420,200,2,0,56.23,300,89
20.93,120,230,2.62,0.56,435,464,150,1.5,0,6.53,184,133.9
20.93,120,230,2.62,0.48,435,322,100,1.5,0,21.75,184,123.3
35,150,200,1.77,0.22,585,626,170,4.7,12.3,78.2,170,37.3
20,150,180,2.79,0.45,369,332,150,3.1,0,0.8,130,76
37,150,200,1.77,0.22,585,626,170,4.7,13.8,93.8,170,33.9
20,150,180,2.79,0.45,369,332,150,3.1,0,3.8,130,92
21,200,350,1.65,0.3,420,420,150,2,0,24.94,300,91
40,200,300,2.15,0.19,390,339,150,2,0,0,265,145.4
32.38,200,300,2.15,0.19,390,458,150,2,8.1,55.6,265,151.6
20,150,180,2.26,0.19,369,332,200,2.2,11.6,6.3,130,72
33.4,254,610,1.9,0.39,441,496,254,2.04,0,23.1,521,467
27.86,120,200,1.92,0.32,416,275,150,1,0,32.05,167,95
29.6,254,610,1.9,0.33,441,496,305,2.04,0,0,521,489
27.14,120,200,1.92,0.32,416,275,150,2,0,34.75,167,47.7
25,150,200,2.3,0.25,210,275,150,1.8,3.41,2.77,166,96
20.93,120,230,2.62,0.56,435,464,150,1.5,0,0,184,138.2
32.38,200,300,2.15,0.25,390,433,200,3.5,7.6,40.8,265,111.2
20,150,180,2.79,0.45,369,332,150,3.1,0,3.7,130,92
39.3,120,240,2.17,0.39,706,300,120,2,10.28,0,204.5,103.1
27.14,120,200,1.92,0.32,416,275,150,2,0,0,167,71.4
40.9,200,350,3.27,0.34,480,495,150,3,0,21.88,325,173
33.1,140,220,1.48,0.9,580,560,80,1.76,0,32.4,170,87.6
27.14,120,200,1.92,0.32,416,275,150,2,0,35.26,167,61.1
40,200,300,2.15,0.14,390,339,200,2.5,1.6,13.3,265,119.8
25,150,200,2.3,0.25,210,275,150,1.5,3.21,2.71,166,126
44,200,350,3.27,0.5,480,495,100,3,0,23,325,172.5
20.93,120,230,2.62,0.48,300,322,100,1.5,0,27.01,184,112
27.86,120,200,1.92,0.32,416,275,150,1,0,22.66,167,118.7
40.7,200,350,3.27,0.25,480,495,200,3,0,22.06,325,136
26.07,120,200,1.92,0.32,416,275,150,2,0,31.71,167,69.5
20,150,180,2.26,0.19,369,332,200,2.2,6.6,4,130,69
35,150,200,1.77,0.22,585,626,170,4.7,10.7,66,170,38.6
20,150,180,2.26,0.19,369,332,200,2.2,0,0,130,60
32.38,200,300,2.15,0.14,390,458,200,2.5,0,0,265,139.2
33.1,150,240,1.22,0.84,580,560,80,1.57,0,22.28,190,110
27.86,120,200,1.92,0.32,416,275,150,2,0,31.88,167,53.5
20,150,180,2.79,0.25,369,332,150,3.1,0,0,130,80
20,150,180,2.79,0.38,369,332,100,3.1,0,0.4,130,84
26.07,120,200,1.92,0.32,416,275,150,1,0,18.7,167,146.8
29.3,254,610,1.9,0.49,441,496,203,2.04,0,28.9,521,471
20.93,120,230,2.62,0.48,300,322,100,1.5,0,42.54,184,105.4
20,150,180,2.79,0.25,369,332,150,3.1,0,3.3,130,100
21,200,350,1.65,0.23,420,420,200,2,0,56.23,300,80
20,150,180,2.79,0.25,369,332,150,3.1,0,0.6,130,80
